Country,Code,Continent_region,Year,Environmental_factor,Death_rate
Afghanistan,AFG,Asia,2019,Outdoor_air_pollution,24.23648775
Afghanistan,AFG,Asia,2019,Unsafe_water_source,9.931294032
Afghanistan,AFG,Asia,2019,Secondhand_smoke,16.04998785
Afghanistan,AFG,Asia,2019,Household_air_pollution_from_solid_fuels,74.57869642
Afghanistan,AFG,Asia,2019,Air_pollution,98.0500165
Albania,ALB,Europe,2019,Outdoor_air_pollution,54.51632354
Albania,ALB,Europe,2019,Unsafe_water_source,0.140144791
Albania,ALB,Europe,2019,Secondhand_smoke,27.11801698
Albania,ALB,Europe,2019,Household_air_pollution_from_solid_fuels,25.3662071
Albania,ALB,Europe,2019,Air_pollution,79.74238585
Algeria,DZA,Africa,2019,Outdoor_air_pollution,52.05200433
Algeria,DZA,Africa,2019,Unsafe_water_source,0.648630402
Algeria,DZA,Africa,2019,Secondhand_smoke,17.96027141
Algeria,DZA,Africa,2019,Household_air_pollution_from_solid_fuels,0.154547316
Algeria,DZA,Africa,2019,Air_pollution,51.89511539
American Samoa,ASM,Oceania,2019,Outdoor_air_pollution,16.90581349
American Samoa,ASM,Oceania,2019,Unsafe_water_source,4.226453372
American Samoa,ASM,Oceania,2019,Secondhand_smoke,31.69840029
American Samoa,ASM,Oceania,2019,Household_air_pollution_from_solid_fuels,12.67936011
American Samoa,ASM,Oceania,2019,Air_pollution,29.5851736
Andorra,AND,Europe,2019,Outdoor_air_pollution,18.33828904
Andorra,AND,Europe,2019,Unsafe_water_source,0
Andorra,AND,Europe,2019,Secondhand_smoke,10.47902231
Andorra,AND,Europe,2019,Household_air_pollution_from_solid_fuels,0
Andorra,AND,Europe,2019,Air_pollution,18.33828904
Angola,AGO,Africa,2019,Outdoor_air_pollution,17.6580106
Angola,AGO,Africa,2019,Unsafe_water_source,34.44131142
Angola,AGO,Africa,2019,Secondhand_smoke,5.050444482
Angola,AGO,Africa,2019,Household_air_pollution_from_solid_fuels,26.97073351
Angola,AGO,Africa,2019,Air_pollution,44.45874751
Antigua and Barbuda,ATG,North America,2019,Outdoor_air_pollution,32.56727857
Antigua and Barbuda,ATG,North America,2019,Unsafe_water_source,1.085575952
Antigua and Barbuda,ATG,North America,2019,Secondhand_smoke,8.684607619
Antigua and Barbuda,ATG,North America,2019,Household_air_pollution_from_solid_fuels,0
Antigua and Barbuda,ATG,North America,2019,Air_pollution,32.56727857
Argentina,ARG,South America,2019,Outdoor_air_pollution,29.19531828
Argentina,ARG,South America,2019,Unsafe_water_source,0.700954669
Argentina,ARG,South America,2019,Secondhand_smoke,19.08821953
Argentina,ARG,South America,2019,Household_air_pollution_from_solid_fuels,1.575479066
Argentina,ARG,South America,2019,Air_pollution,30.6595347
Armenia,ARM,Asia,2019,Outdoor_air_pollution,114.9754556
